profile_id,lat,lon,date,day_of_year,sst,t_0,t_5,t_10,t_20,t_30,t_50,t_75,t_100,t_125,t_150,t_200,t_300,t_500,t_700,t_1000
1902734_005,20.0041,61.1768,2025-05-04,124,29.72,,29.492,29.495,29.496,29.251,25.329,24.481,24.029,22.133,20.629,18.227,15.711,13.263,11.453,9.057
2903955_015,24.6023,58.6592,2025-05-04,124,30.53,,30.393,30.354,26.793,25.312,24.222,23.783,23.553,23.595,23.331,21.598,18.213,13.682,11.497,9.166
1902373_007,14.4517,89.4461,2025-05-04,124,30.53,,30.867,30.691,30.15,29.629,29.451,27.818,25.322,21.792,18.926,14.799,11.902,10.079,8.467,6.626
6990609_060,10.7,89.6333,2025-05-04,124,30.08,,30.211,30.143,29.957,29.774,29.971,28.353,25.222,20.144,17.886,15.298,11.904,10.088,8.655,6.715
1902755_001D,13.9862,68.0287,2025-05-04,124,30.6,,,30.685,30.343,29.965,29.099,28.507,27.337,24.172,20.972,17.512,14.745,12.114,10.897,
5907167_001D,13.9862,68.0287,2025-05-04,124,30.6,,,30.685,30.343,29.965,29.099,28.507,27.337,24.172,20.972,17.512,14.745,12.114,10.897,
6990611_058,21.5333,66.6833,2025-05-04,124,28.83,,29.509,29.478,29.268,29.092,26.44,24.858,24.385,24.07,24.038,20.626,17.034,13.305,11.302,8.957
6990705_007,6.6833,89.15,2025-05-04,124,29.94,,30.523,30.467,30.016,29.75,28.418,23.898,20.139,17.898,15.244,13.97,11.879,9.983,8.744,6.907
7901127_060,8.6833,91.6,2025-05-04,124,30.14,,30.829,30.754,30.241,29.815,29.38,26.785,24.069,20.822,17.79,13.955,11.616,10.204,8.548,6.704
1902660_015,21.1498,59.6233,2025-05-04,124,27.12,,27.477,27.119,26.425,26.313,24.568,24.179,23.536,21.624,19.969,19.149,16.738,13.304,11.579,9.18
5907141_016,25.1636,60.0386,2025-05-04,124,29.5,,29.465,28.325,24.75,24.329,24.039,23.719,23.701,23.544,22.37,20.905,,,,
1902751_012,20.0377,59.7835,2025-05-04,124,29.32,,29.233,29.232,29.23,28.167,24.761,24.299,23.968,22.502,20.878,18.991,16.279,13.222,11.537,9.093
2903829_009,8.9543,87.4223,2025-05-04,124,30.11,,30.33,30.338,29.524,29.385,28.643,27.001,22.538,18.816,16.476,13.658,11.747,9.887,8.409,6.658
6990700_007,23.1569,59.1401,2025-05-04,124,30.46,,29.153,28.894,26.091,25.169,24.003,23.617,23.55,23.099,22.235,19.747,17.714,13.427,11.317,9.026
7902200_028,6.5251,66.0047,2025-05-03,123,30.83,,30.974,30.975,30.942,29.981,29.1,28.029,23.816,20.226,18.273,14.221,12.107,10.683,9.203,7.487
2903956_011,23.7823,60.4103,2025-05-03,123,29.5,,28.673,28.312,26.482,25.292,24.246,23.839,23.642,22.774,20.732,19.443,17.646,13.278,11.351,
1902757_010,22.2246,60.5888,2025-05-03,123,28.18,,28.173,28.173,28.169,27.582,24.494,23.961,23.737,23.198,21.807,19.719,16.633,13.384,11.751,9.906
6903059_480,20.4641,61.9607,2025-05-03,123,29.69,,29.712,29.707,29.629,28.524,24.845,24.291,24.037,23.053,21.151,19.029,15.478,13.38,11.57,9.426
6903139_347,13.08,47.6942,2025-05-03,123,28.53,,29.035,29.024,28.992,26.191,24.922,23.788,23.08,21.132,19.511,17.602,14.812,14.399,13.317,11.152
6903138_347,11.3925,56.7435,2025-05-03,123,30.68,,30.747,30.663,29.723,28.336,26.001,25.357,24.551,22.067,19.977,16.436,14.129,11.682,11.07,8.398
